'Reference','Qty','Description','MF_Name','MF_PN','Digikey'
'C1,C2','2','CAP CER 0.1UF 100V X7R 0603','Murata','GRM188R72A104KA35D','490-3285-1-ND'
'C3,C4','2','CAP CER 1UF 25V X7R 0805','Samsung','CL21B105KAFNNNE','1276-1066-1-ND'
'D1','1','DIODE SCHOTTKY 40V 1A MBRA140 SMA','Vishay','VS-MBRA140TRPBF','VS-MBRA140TRPBFCT-ND'
'D2,D3','2','DIODE GEN PURP 75V 250MA BAS16 SOD323','Vishay','BAS16WS-E3-08','BAS16WS-E3-08CT-ND'
'J1','1','CONN FEMALE DB9 SERIAL TH 9PIN','TE Conn','1734354-1','A35107-ND'
'J2','1','ADAFRUIT CC3000 WIFI BREAKOUT  V1.1','Adafruit','CC3000','1469'
'J3','1','ADAFRUIT FONA 808 + GPS','Adafruit','FONA808+GPS','2542'
'J4','1','CONN SD CARD PUSH-PULL R/A SMD','TE Conn','2041021-4','A101492CT-ND'
'LED1-LED5','5','LED RED DIFFUSED 0603 SMD','Broadcom','HSMS-C191','516-3074-1-ND'
'Q1,Q3','2','MOSFET N-CH 50V 220MA SOT-23','Fairchild','BSS138','BSS138CT-ND'
'Q2,Q5,Q6','1','TRANS NPN 40V 0.6A SOT23','ON Semi','MMBT2222ALT1G','MMBT2222ALT1GOSCT-ND'
'Q4','1','MOSFET P-CH 20V 2.6A SOT23','Infineon','IRLML2246TRPBF','IRLML2246TRPBFCT-ND'
'R1','1','RES SMD 866 OHM 1% 1/10W 0402','Panasonic','ERJ-2RKF8660X','P866LCT-ND'
'R12,R21','2','RES SMD 510 OHM 5% 1/2W 2010','Rohm Semi','MCR50JZHJ511','RHM510BGCT-ND'
'R13,R33','2','RES SMD 1.5K OHM 1% 1/10W 0402','Panasonic','ERJ-2RKF1501X','P1.50KLCT-ND'
'R2','1','RES SMD 374 OHM 1% 1/10W 0402','Panasonic','ERJ-2RKF3740X','P374LCT-ND'
'R25','1','RES SMD 62K OHM 1% 1/10W 0402','Panasonic','ERJ-2RKF6202X','P62.0KLCT-ND'
'R28-R31','4','RES SMD 330 OHM 1% 1/10W 0402','Panasonic','ERJ-2RKF3300X','P330LCT-ND'
'R3','1','RES SMD 240 OHM 1% 1/10W 0402','Panasonic','ERJ-2RKF2400X','P240LCT-ND'
'R4,R9,R20,R22','4','RES SMD 1K OHM 1% 1/10W 0402','Panasonic','ERJ-2RKF1001X','P1.00KLCT-ND'
'R5,R6,R10,R11,R14-R19,R23, R24,R26','13','RES SMD 10K OHM 1% 1/10W 0402','Panasonic','ERJ-2RKF1002X','P10.0KLCT-ND'
'R7','1','RES SMD 1.2K OHM 1% 1/10W 0402','Panasonic','ERJ-2RKF1201X','P1.20KLCT-ND'
'R8,R27,R32','3','RES SMD 4.7K OHM 1% 1/10W 0402','Panasonic','ERJ-2RKF4701X','P4.70KLCT-ND'
'U1','1','IC REG LDO ADJ 0.5A DPAK','STM','LM317MDT-TR','497-1574-1-ND'
'U2','1','ARDUINO 101 SHIELD','Arduino','UNO R3','50'
'U7','1','IC QUAD DIFF COMPARATOR 14-TSSOP','TI','LM339PWR','296-6607-1-ND'
'U8','1','STN1110 OBD-II TO UART IC','ScanTool','STN1110-QFN28','365121'
'U9','1','IC TRANSCEIVER CAN HI-SPD 8-SOIC','Microchip','MCP2551-I/SN','MCP2551-I/SN-ND'
'X1','1','16MHz ±30ppm Crystal 18pF 40 Ohm 4SMD NOLEAD','CTS','406I35D16M00000','CTX1206CT-ND'
